sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro,sleepTotalTimeStampGMT
2023-01-09 06:00:00,2023-01-09 14:28:00,2023-01-09,ENHANCED_CONFIRMED_FINAL,3180.0,19860.0,7260.0,180.0,0.0,False,08:28:00
2023-01-10 06:02:00,2023-01-10 14:26:00,2023-01-10,ENHANCED_CONFIRMED,4800.0,17100.0,7500.0,180.0,660.0,False,08:24:00
2023-01-11 06:56:00,2023-01-11 12:40:00,2023-01-11,ENHANCED_CONFIRMED_FINAL,2400.0,12180.0,5940.0,120.0,0.0,False,05:44:00
2023-01-12 05:07:00,2023-01-12 14:21:00,2023-01-12,ENHANCED_CONFIRMED_FINAL,4680.0,18480.0,9120.0,960.0,0.0,False,09:14:00
2023-01-13 08:43:00,2023-01-13 15:03:00,2023-01-13,ENHANCED_CONFIRMED_FINAL,3900.0,13920.0,4740.0,240.0,0.0,False,06:20:00
2023-01-14 05:30:00,2023-01-14 13:45:00,2023-01-14,ENHANCED_CONFIRMED,3240.0,17040.0,9300.0,120.0,0.0,False,08:15:00
2023-01-15 05:43:00,2023-01-15 14:25:00,2023-01-15,ENHANCED_CONFIRMED_FINAL,1560.0,19140.0,10140.0,480.0,0.0,False,08:42:00
2023-01-16 06:10:00,2023-01-16 14:28:00,2023-01-16,ENHANCED_CONFIRMED_FINAL,780.0,19980.0,8820.0,300.0,0.0,False,08:18:00
2023-01-17 07:02:00,2023-01-17 12:46:00,2023-01-17,ENHANCED_CONFIRMED_FINAL,1380.0,12420.0,6660.0,180.0,0.0,False,05:44:00
2023-01-18 06:11:00,2023-01-18 15:42:00,2023-01-18,ENHANCED_CONFIRMED_FINAL,5580.0,18660.0,9780.0,240.0,0.0,False,09:31:00
2023-01-19 07:33:00,2023-01-19 15:12:00,2023-01-19,ENHANCED_CONFIRMED_FINAL,3840.0,18120.0,5100.0,480.0,0.0,False,07:39:00
2023-01-21 05:40:00,2023-01-21 12:44:00,2023-01-21,ENHANCED_CONFIRMED_FINAL,2100.0,13980.0,9240.0,120.0,0.0,False,07:04:00
2023-01-22 06:11:00,2023-01-22 15:56:00,2023-01-22,ENHANCED_CONFIRMED,7440.0,20040.0,6660.0,960.0,0.0,False,09:45:00
2023-01-23 07:29:00,2023-01-23 14:03:00,2023-01-23,ENHANCED_CONFIRMED_FINAL,4920.0,12300.0,6180.0,240.0,0.0,False,06:34:00
2023-01-24 05:08:00,2023-01-24 14:42:00,2023-01-24,ENHANCED_CONFIRMED_FINAL,7380.0,16860.0,8220.0,1980.0,0.0,False,09:34:00
2023-01-25 07:43:00,2023-01-25 13:35:00,2023-01-25,ENHANCED_CONFIRMED_FINAL,3360.0,10980.0,6480.0,300.0,0.0,False,05:52:00
2023-01-26 06:01:00,2023-01-26 14:00:00,2023-01-26,ENHANCED_CONFIRMED_FINAL,4680.0,14340.0,9660.0,60.0,0.0,False,07:59:00
2023-01-27 06:20:00,2023-01-27 13:01:00,2023-01-27,ENHANCED_CONFIRMED_FINAL,3060.0,15420.0,5580.0,0.0,0.0,False,06:41:00
2023-01-28 07:01:00,2023-01-28 13:27:00,2023-01-28,ENHANCED_CONFIRMED,5520.0,10620.0,6900.0,120.0,0.0,False,06:26:00
2023-01-29 05:37:00,2023-01-29 15:49:00,2023-01-29,ENHANCED_CONFIRMED_FINAL,5580.0,19680.0,11400.0,60.0,0.0,False,10:12:00
2023-01-30 06:16:00,2023-01-30 13:27:00,2023-01-30,ENHANCED_CONFIRMED_FINAL,5040.0,15420.0,5280.0,120.0,0.0,False,07:11:00
2023-01-31 06:00:00,2023-01-31 13:12:00,2023-01-31,ENHANCED_CONFIRMED_FINAL,4380.0,14580.0,6960.0,0.0,0.0,False,07:12:00
2023-02-01 06:27:00,2023-02-01 13:49:00,2023-02-01,ENHANCED_CONFIRMED_FINAL,3180.0,17460.0,5880.0,0.0,0.0,False,07:22:00
2023-02-02 07:44:00,2023-02-02 13:17:00,2023-02-02,ENHANCED_CONFIRMED_FINAL,5280.0,9060.0,5460.0,180.0,0.0,False,05:33:00
2023-02-03 06:44:00,2023-02-03 12:53:00,2023-02-03,ENHANCED_CONFIRMED_FINAL,6660.0,10560.0,4920.0,0.0,0.0,False,06:09:00
2023-02-04 06:43:00,2023-02-04 15:41:00,2023-02-04,ENHANCED_CONFIRMED,7080.0,16680.0,7920.0,600.0,0.0,False,08:58:00
